胶原蛋白软胶囊(奈世康)买二赠一	￥0.01
补充钙、锌 钙加锌口服液（哈药六牌）	￥23.80
肚痛丸	￥23.80
小儿咳喘灵口服液(好娃娃)	￥23.80
海王果味钙加维C软糖	￥23.80
藿香正气软胶囊(神威)	￥23.80
通脉颗粒	￥23.80
补充钙、锌 哈药六牌钙加锌口服液	￥23.80
高血压-厄贝沙坦片	￥23.80
脑供血不足-盐酸氟桂利嗪胶囊	￥23.80
宫炎平分散片 江西民济 盆腔炎	￥23.80
海王维生素C软糖	￥23.80
缬沙坦分散片(缬欣)	￥23.80
肾石通颗粒(无糖型)	￥23.80
复方青橄榄含片(慢严舒柠)	￥23.80
小儿肺热咳喘口服液	￥23.80
山麦健脾口服液	￥23.80
盐酸特比萘芬乳膏(兰美抒)	￥23.80
曼秀雷敦什果冰小小润唇膏(柠檬)	￥23.90
曼秀雷敦天然润唇膏	￥23.90
单用听诊器(鱼跃)	￥23.90
曼秀雷敦什果冰(柠檬)	￥23.90
马应龙麝香痔疮膏	￥23.90
清火胶囊(仁和)	￥24.00
胃肠道疾病  湖南迪诺  奥美拉唑肠溶胶囊	￥24.00
复方氨酚烷胺片(感康)	￥24.00
消炎镇痛-双氯芬酸钠缓释片	￥24.00
血塞通片(薄膜衣)	￥24.00
阿胶枣	￥24.00
复方枣仁胶囊(新海店)	￥24.00
胆香鼻炎胶囊	￥24.00
党参泡足片(安特卫)	￥24.00
生姜泡足片(安特卫)	￥24.00
头孢克洛分散片(恒迪克)	￥24.00
第六感避孕套(超薄超滑)	￥24.00
第六感避孕套(超薄螺纹)	￥24.00
发热、头痛、鼻塞流涕  浙江亚峰药厂 小儿氨酚黄那敏颗粒	￥24.00
苯磺酸氨氯地平片   高血压心绞痛  五折	￥24.00
第六感避孕套(超薄颗粒)	￥24.00
第六感避孕套(超薄平滑)	￥24.00
红花泡足片(安特卫)	￥24.00
降温贴(03岁适用)	￥24.00
降温贴(儿童、成人型)	￥24.00
头孢克肟干混悬剂	￥24.00
茵栀黄颗粒	￥24.00
辛伐他汀片	￥24.00
马来酸氨氯地平分散片(缬平)	￥24.00
心肝宝胶囊	￥24.00
酚麻美敏片(泰诺)	￥24.00
维C银翘软胶囊	￥24.00
麝香追风膏(新装)	￥24.00
云南白药膏(打孔透气型)	￥24.00
蒙脱石散(必奇)	￥24.00
玉屏风胶囊	￥24.00
党参(晟海祥)	￥24.00
制何首乌(晟海祥)	￥24.00
消炎 珠海联邦制药 阿莫西林颗粒（联邦阿莫仙）	￥24.20
舒胆片	￥24.20
舒肝颗粒	￥24.20
九香虫	￥24.26
复合乳酸菌胶囊(聚克)	￥24.30
肺宁颗粒   雾霾活动	￥24.30
复方氨酚溴敏胶囊(奥肯能)	￥24.50
消炎  海南先声 头孢克洛干混悬剂	￥24.50
平消片	￥24.50
穿王消炎胶囊(穿王)	￥24.50
霉菌引起的各种阴道炎   甲硝唑氯己定洗剂	￥24.50
高血压 北京双鹤药业 复方利血平氨苯蝶啶片	￥24.50
泽桂癃爽胶囊	￥24.50
地奈德乳膏	￥24.50
盐酸特比萘芬喷雾剂(丁克) 	￥24.50
抗菌消炎-头孢克肟颗粒	￥24.60
阿奇霉素软胶囊	￥24.70
咳喘宁片	￥24.70
荆花胃康胶丸	￥24.70
明目地黄丸	￥24.80
天王补心丸	￥24.80
知柏地黄丸	￥24.80
六味地黄丸	￥24.80
补中益气丸	￥24.80
附子理中丸	￥24.80
香砂养胃丸	￥24.80
藿香正气丸	￥24.80
杞菊地黄丸	￥24.80
逍遥丸	￥24.80
托尼萘酸片(加诺)	￥24.80
高血压-苯磺酸氨氯地平片	￥24.80
清热解毒，除湿止带-妇炎康片	￥24.80
糖尿病-盐酸二甲双胍片	￥24.80
早搏、房颤、窦性心动过速等心律失常-稳心颗粒	￥24.80
调经止痛片 昆中	￥24.80
K1排卵试纸 淑女	￥24.80
妇科调经片 千金 盆腔炎	￥24.80
宁心宝胶囊	￥24.80
维血宁颗粒(无糖型)	￥24.80
参苓健脾胃颗粒(云丰)	￥24.80
隔山消积颗粒	￥24.80
活血祛瘀 云南白药 血塞通分散片	￥24.80
功能性消化不良伴胃部不适 山东鲁南贝特 枸橼酸莫沙必利片	￥24.90
马来酸氨氯地平片(可苹)	￥24.90
抗菌消炎-罗红霉素软胶囊	￥24.90
夏枯草口服液 新天	￥24.90
杜蕾斯避孕套(love装)	￥24.90
石杉碱甲片(哈伯因)	￥24.90
镇痛、消炎 桂林天和 麝香壮骨膏（华润三九）	￥25.00
治疗高血压  北京赛科药业 盐酸特拉唑嗪片	￥25.00
益母草膏 湖北御金丹	￥25.00
清热解毒颗粒(仁和)	￥25.00
奥硝唑片	￥25.00
铝碳酸镁混悬液	￥25.00
健脾糖浆	￥25.00
维D2磷酸氢钙片(小可乐人)	￥25.00
倍芪腹泻贴	￥25.00
玫瑰花(沪春堂)	￥25.00
防雾霾抗菌口罩(一次性女款)	￥25.00
胖大海(沪春堂)	￥25.00
儿童口罩(小羊粉)	￥25.00
胃脘舒颗粒(新海店)	￥25.00
马来酸依那普利片	￥25.00
头孢克肟胶囊	￥25.00
盐酸萘替芬乳膏	￥25.00
西红花	￥25.00
贡菊花(沪春堂)	￥25.00
普通医用口罩(男款)	￥25.00
健脑美发按摩梳(皇威)	￥25.00
香连胶囊(本草纲目)	￥25.00
伤痛宁片(新克雷)	￥25.00
枇杷止咳胶囊(克立亭)	￥25.00
愈酚伪麻口服溶液(艾舒)	￥25.00
普通医用口罩(女款)	￥25.00
乙酰半胱氨酸泡腾片(富露施)	￥25.00
三清片(泰康)	￥25.00
安神补心片(太极)	￥25.00
聚甲酚磺醛栓(比维彤)  宫颈糜烂、宫颈炎、各类阴道感染	￥25.00
伤湿祛痛膏	￥25.00
西洋参	￥25.00
益气活血，通络止痛-通心络胶囊	￥25.00
尿路感染-三金片	￥25.00
抗菌消炎-阿奇霉素胶囊	￥25.00
马来西亚 巅峰一号（3D凸点螺纹系列3D高频勃）	￥25.00
改善微循环 缓解疼痛  万通筋骨贴（万通）	￥25.00
清热化痰，宣肺止咳 片仔癀药业 清热止咳颗粒	￥25.00
清热解毒，利咽消肿。 扬子江药业 蓝芩口服液	￥25.00
利胆消炎 上海雷允上 金胆片 	￥25.00
杀菌止痒-消炎癣湿药膏	￥25.00
K1巅峰一号 3D凸点螺纹系列3D无限勃	￥25.00
K1巅峰一号（3D凸点螺纹系列3D旋震动）	￥25.00
K1巅峰一号（扭舞系列贴合舒展装）	￥25.00
K1巅峰一号（扭舞系列无限高涨装）	￥25.00
K1巅峰一号（扭舞系列细腻触感装）	￥25.00
K1多乐士精品一派至爱天然胶乳橡胶避孕套	￥25.00
早早孕测试笔 可丽蓝	￥25.00
乌鸡白凤丸 太极	￥25.00
天然胶乳橡胶避孕套（爱玩） 冈本	￥25.00
天然胶乳橡胶避孕套（冰玩） 冈本	￥25.00
天然乳胶橡胶避孕套（享玩） 冈本	￥25.00
通气鼻贴(新康泰克)	￥25.00
头孢克肟分散片	￥25.00
洛索洛芬钠片(乐松)	￥25.00
冠心丹参滴丸	￥25.00
坎地沙坦酯片(维尔亚)	￥25.00
吲达帕胺缓释片	￥25.00
替米沙坦片(提愈)	￥25.00
格列齐特缓释片	￥25.00
前列泰胶囊	￥25.00
胆舒胶囊	￥25.00
枫蓼肠胃康分散片(蔚美)	￥25.00
小儿百部止咳糖浆(葵花)	￥25.00
鼻渊舒口服液(无糖型)	￥25.00
复方尿囊素片	￥25.00
安胃止痛胶囊	￥25.00
景志安神口服液	￥25.00
苄达赖氨酸滴眼液(嘉仕力)	￥25.00
金栀洁龈含漱液(口宝)	￥25.00
羟苯磺酸钙胶囊(可元)	￥25.00
全天麻胶囊	￥25.00
小儿肺热咳喘颗粒(葫芦娃)	￥25.00
小儿感冒宁合剂(普正)	￥25.00
痔疮胶囊(加劲)	￥25.00
痔疮栓	￥25.00
盐酸特比萘芬乳膏(美选抒)	￥25.00
玉屏风滴丸  五折	￥25.00
保狮洁足爽喷剂	￥25.00
肤专家软膏	￥25.00
枸杞	￥25.00
同仁堂黄芪(精装)	￥25.00
胖大海(易拉盖包装)(彭祖)	￥25.00
同仁堂怀山药(精装)	￥25.00
第六感天然胶乳橡胶避孕套(多彩)	￥25.20
金鸡胶囊 金鸡  用于附件炎、子宫内膜炎、盆腔炎属湿热下注证者	￥25.20
益气，固表-玉屏风颗粒	￥25.20
复明片	￥25.20
益血生胶囊	￥25.20
十二指肠溃疡胃溃疡 慢性胃炎 丽珠集团克拉霉素片	￥25.30
头孢地尼分散片(兴易比可)	￥25.30
感冒疏风胶囊	￥25.30
枸橼酸铋钾片/替硝唑片/克拉霉素片  十二指胃溃疡	￥25.30
 乳腺增生 西安自力中药 小金丸	￥25.50
复方风湿宁片	￥25.50
雷公藤多甙片	￥25.50
通塞脉片	￥25.50
松龄血脉康胶囊	￥25.50
人参健脾片(爱尔健)  五折	￥25.50
咳喘宁口服液(先声)	￥25.50
神农镇痛膏	￥25.50
维生素AD滴剂(胶囊型)(伊可新一岁以上)	￥25.50
维生素AD滴剂(胶囊型)(伊可新一岁以下)	￥25.50
清宣止咳颗粒	￥25.50
腰息痛胶囊	￥25.60
天麻丸(本草纲目)	￥25.60
创灼膏(九发)	￥25.60
五味麝香丸	￥25.70
双氯芬酸钠凝胶(英太青)	￥25.70
双唑泰阴道泡腾片 洁尔泰	￥25.80
酒宝葛灵胶囊	￥25.80
甲硝唑呋喃唑酮栓 阴道炎 九泰坤宝	￥25.80
六神宝宝汉草祛痱精露	￥25.80
儿童复方氨酚肾素片(幸福儿童科达琳)	￥25.80
用于各种阴道炎 湖南迪诺制药 双唑泰阴道泡腾片	￥25.80
镇咳祛痰  昆明中药 止咳胶囊	￥25.80
症瘕痞块，血瘀经闭，跌打损伤-脉血康胶囊	￥25.80
复方丹参滴丸  活血化瘀用于胸中憋闷 心绞痛	￥25.80
对化学性肝损伤有辅助保护作用 海王牌金樽片（海王金樽）	￥25.80
双唑泰阴道泡腾片 阴道炎	￥25.80
金归洗液 圣华	￥25.80
头孢克肟颗粒(世福素)	￥25.80
桉柠蒎肠溶软胶囊(切诺)	￥25.80
替米沙坦片(康楚)	￥25.80
复方氨酚肾素片(科达琳)	￥25.80
氢溴酸右美沙芬口服溶液(联邦克立停)	￥25.80
盐酸氨溴索口服溶液(沐舒坦)	￥25.80
口洁喷雾剂(白云山)	￥25.80
龙珠软膏(马应龙)	￥25.80
复方鲜石斛颗粒	￥26.00
别嘌醇片	￥26.00
四季抗病毒合剂	￥26.00
消裂抗菌凝胶(碧源清)	￥26.00
玳瑁	￥26.00
盐酸班布特罗片(帮备)	￥26.00
非洛地平缓释片(易特欣)	￥26.00
四君子合剂(桐君阁)	￥26.00
滋补肝肾，益精明目 苏州九珍堂健康药业 枸杞1花茶	￥26.00
高血压-缬沙坦氢氯噻嗪胶囊	￥26.00
冠心病-参松养心胶囊	￥26.00
滋补肝肾，益精明目 苏州九珍堂健康药业 枸杞1花茶	￥26.00
清热解毒-开喉剑喷雾剂	￥26.00
高血压-缬沙坦氢氯噻嗪胶囊	￥26.00
冠心病-参松养心胶囊	￥26.00
关节肿痛-布洛芬缓释胶囊	￥26.00
肾虚-普乐安片	￥26.00
消炎 四川制药制剂 阿奇霉素干混悬剂	￥26.00
医用脱脂棉	￥26.00
地红霉素肠溶胶囊(辰欣药业)	￥26.00
加替沙星分散片	￥26.00
金龙舒胆颗粒	￥26.00
苍耳子鼻炎胶囊(四川亚宝)	￥26.00
盐酸西替利嗪糖浆(贝分)	￥26.00
乙酰半胱氨酸颗粒(富露施)	￥26.00
黄芪生脉饮	￥26.00
玫瑰花(易拉盖包装)(彭祖)	￥26.00
盐酸特比萘芬片(丁克)	￥26.10
胃炎 成都康弘 枸橼酸莫沙必利分散片	￥26.30
小金丸 永康	￥26.30
癃清片	￥26.40
聚甲酚磺醛栓  益宝疗  阴道炎。宫颈炎	￥26.40
养血安神颗粒	￥26.40
维生素C泡腾片(果维康)	￥26.40
妇科炎症  广东德鑫 妇炎康片	￥26.50
头孢克肟胶囊(士瑞克)	￥26.50
急支糖浆	￥26.50
复方金银花颗粒	￥26.50
肥儿疳积颗粒(昆中)	￥26.50
养胃和中、用于慢性浅表性胃炎引起的胃痛  上海雷允上 猴头菌片	￥26.50
枸橼酸铋钾颗粒(丽珠得乐)	￥26.50
复方芦荟胶囊(万邦)	￥26.50
止泻利颗粒(昆中)	￥26.50
暖胃舒乐片(昆中)	￥26.50
参苓健脾胃颗粒(无蔗糖)(昆中)	￥26.50
右美沙芬愈创甘油醚糖浆	￥26.60
曼秀雷敦水份润唇膏	￥26.60
裸花紫珠胶囊	￥26.60
糠酸莫米松乳膏(艾洛松乳膏)	￥26.60
糠酸莫米松乳膏	￥26.70
枸橼酸铋钾胶囊(丽珠得乐)	￥26.70
清湿热 利尿排石 太极集团石淋通颗粒	￥26.80
排石利胆颗粒(仁和)	￥26.80
小儿生血糖浆	￥26.80
辛芳鼻炎胶囊     五折	￥26.80
阿归养血糖浆(本草纲目)	￥26.80
飘柔滋润去屑洗发露	￥26.80
补脑丸	￥26.80
皮肤疾病 西安杨森制药 酮康唑洗剂	￥26.80
精氨酸布洛芬片(司百得)	￥26.80
治疗头疼 发热 精氨酸布洛芬颗粒（司百得）	￥26.80
前列腺增生-盐酸坦洛新缓释片	￥26.80
高血压-胰激肽原酶肠溶片	￥26.80
片仔癀牙膏(深清爽青柠薄荷香型)	￥26.80
K1片仔癀牙膏（深清爽青柠薄荷香型）	￥26.80
盐酸贝那普利片(洛汀新)	￥26.80
头孢地尼分散片片(希福尼)	￥26.80
兰索拉唑片(兰索星)	￥26.80
复方苦木消炎分散片	￥26.80
八正合剂	￥26.80
氧氟沙星滴眼液(金瑞氟)	￥26.80
宁神补心片(桐君阁)	￥26.80
杞菊地黄丸(桐君阁)	￥26.80
糠酸莫米松乳膏(滇虹速奇)	￥26.80
红枣姜茶(澳力健)	￥26.90
筋骨痛消丸	￥26.90
治咳川贝枇杷滴丸	￥26.90
醋酸钙颗粒(金钙)	￥27.00
湿疹、神经性皮炎 糠酸莫米松凝胶（华润三九）	￥27.00
降脂药  上海信谊 辛伐他汀片	￥27.00
卤米松乳膏(澳能)	￥27.00
川贝雪梨糖浆(本草纲目)	￥27.00
4879飘柔焗油护理洗发露	￥27.00
头风痛丸	￥27.00
参芪降糖颗粒	￥27.00
痔特佳胶囊	￥27.00
氯雷他定胶囊  缓解过敏症状	￥27.00
高血压 北京嘉林 阿托伐他汀钙片	￥27.00
K1多乐士精进口超薄薰衣草天然胶乳橡胶避孕套	￥27.00
双氯芬酸钠缓释片(扶他林)	￥27.00
复肾宁胶囊	￥27.00
前列通片	￥27.00
肾炎康复片	￥27.00
甲钴胺分散片	￥27.00
复方尿维氨滴眼液(中鑫)	￥27.00
六味地黄丸(桐君阁)	￥27.00
知柏地黄丸(桐君阁)	￥27.00
高血压心绞痛 施慧达药业 苯磺酸左旋氨氯地平片	￥27.20
清热解毒，利湿散结  葵花药业 康妇消炎栓	￥27.20
赖诺普利胶囊(帝益洛)	￥27.20
小儿咽扁颗粒(仁和中方)	￥27.30
地红霉素肠溶胶囊(迪红)	￥27.30
抗宫炎片  天狮   慢性宫颈炎	￥27.30
铝镁加混悬液(安达)	￥27.30
癃闭舒胶囊	￥27.30
复方酮康唑发用洗剂(秀采)	￥27.30
养血清脑丸	￥27.40
益肺阴 清虚火 生津止渴西洋参片	￥27.50
急性细菌性结膜炎 楚雄老拨云堂药业 加替沙星滴眼液	￥27.50
阿奇霉素片(维宏)	￥27.50
替米沙坦片(浦美特)	￥27.50
单硝酸异山梨酯片(齐鲁)	￥27.50
小儿风热感冒-小儿豉翘清热颗粒	￥27.50
用于胃、十二指肠溃疡 修正药业 维U颠茄铝胶囊(斯达舒)	￥27.50
高胆固醇血症-氟伐他汀钠胶囊	￥27.50
 消肿止痛 烟台 荣昌肛泰	￥27.50
消糜栓 阴道炎 万通	￥27.50
虎力散胶囊	￥27.50
止咳丸	￥27.50
藿香正气滴丸	￥27.50
西洋参	￥27.50
胃炎  修正 维U颠茄铝分散片	￥27.60
复方福尔可定口服溶液(澳特斯)	￥27.60
盐酸特比萘芬阴道泡腾片  五折	￥27.70
咽炎 扁桃体炎 尿道炎 沙眼 深圳海王药业 阿奇霉素片	￥27.70
BY硝酸咪康唑阴道软胶囊	￥27.80
氯化钠滴眼液(白润洁)	￥27.80
复方新斯的明牛磺酸滴眼液(小润洁)	￥27.80
莫匹罗星软膏(百多邦)	￥27.80
头孢克肟干混悬剂(魁克)	￥27.90
缤纷果香 丰富体验 泰国 杰士邦天然胶乳橡胶避孕套(果香组合)	￥28.00
拔罐 北京康达五洲医疗器械中心 康祝拔罐器（天猫专柜）	￥28.00
尿道炎胆囊炎胆管炎  山东罗欣药业 头孢克肟片	￥28.00
妇炎康复咀嚼片 仁和	￥28.00
对乙酰氨基酚滴剂	￥28.00
头孢克肟胶囊(新海店)	￥28.00
单硝酸异山梨酯缓释片	￥28.00
盐酸二甲双胍缓释片(名诺)	￥28.00
胃溃疡-奥美拉唑肠溶胶囊	￥28.00
格列齐特缓释片	￥28.00
清淋片(仁和)	￥28.00
鼻炎宁颗粒	￥28.00
跌打损伤丸(仁和)	￥28.00
复方鱼腥草片(桐君阁)	￥28.00
抗病毒口服液	￥28.00
头孢克肟胶囊(恒达菲)(新海店)	￥28.00
阿胶三宝膏	￥28.00
寒喘祖帕颗粒(奇康)	￥28.00
PM2.5立体滤片(成人款)	￥28.00
PM2.5立体滤片(儿童款)	￥28.00
即溶普洱茶珍(清香)	￥28.00
盐酸硫必利片	￥28.00
精乌片	￥28.00
补充营养 提高免疫力 黄金搭档(中老年型)	￥28.00
辛伐他汀片(华客)	￥28.00
止泻利颗粒(云昆)	￥28.00
益肺止咳胶囊 雾霾活动	￥28.00
养血当归糖浆	￥28.00
胎菊(青花瓷包装)(彭祖)	￥28.00
复方杏香兔耳风颗粒 (佑舒) 江西佑美制药有限公司	￥28.00
参梅养胃颗粒(平康)	￥28.00
同仁牛黄清心丸	￥28.00
谷幽兰维生素E宝宝润肤霜	￥28.00
奥美拉唑肠溶胶囊(修正)	￥28.00
愈风宁心丸	￥28.00
心元胶囊	￥28.00
伤科活血酊(太极)	￥28.00
强力枇杷膏(蜜炼)	￥28.00
雪上一枝蒿速效止痛擦剂(云南维和)	￥28.00
活力苏口服液	￥28.00
温肾固精 太极集团 五子衍宗丸	￥28.00
紧急避孕 广州朗圣药业 左炔诺孕酮肠溶片	￥28.00
腹泻-肠炎宁片	￥28.00
抗菌消炎-罗红霉素缓释胶囊	￥28.00
胃溃疡十二指肠溃疡应激性溃 江苏长江药业 奥美拉唑肠溶胶囊	￥28.00
抗菌消炎-头孢克肟片	￥28.00
咳嗽-小儿肺热咳喘颗粒	￥28.00
腹泻-复方谷氨酰胺肠溶胶囊	￥28.00
润肠通便、调节肠道菌群 深圳 通秘茶	￥28.00
八珍益母片 千金	￥28.00
孕康口服液	￥28.00
杀菌止痒洗剂 阴道炎 长生药业	￥28.00
左炔诺孕酮分散片 卡瑞丁	￥28.00
妇洁舒洗液 利克	￥28.00
丹黄祛瘀胶囊 龙鑫 阴道炎	￥28.00
早早孕检测试纸杯 伊健仕	￥28.00
北京康祝拔罐器	￥28.00
头孢克洛缓释片(新达罗)	￥28.00
盐酸纳洛酮舌下片(风度)	￥28.00
法莫替丁钙镁咀嚼片(好卫特)	￥28.00
辛伐他汀片(华客) 五折	￥28.00
复方尿维氨滴眼液	￥28.00
蒲地蓝消炎胶囊(EHAI)	￥28.00
曲安奈德鼻喷雾剂(珍德)	￥28.00
药用炭片(爱西特)	￥28.00
多磺酸粘多糖乳膏(喜辽妥)	￥28.00
复方丙酸氯倍他索软膏(金纽尔)	￥28.00
川贝枇杷膏(康寿)	￥28.00
复方梨膏	￥28.00
聚乙烯醇滴眼液(瑞珠)	￥28.00
口腔溃疡含片(海欣)	￥28.00
泻白糖浆	￥28.00
儿咳糖浆(中族)	￥28.00
氯雷他定片(雪苏)	￥28.00
美声喉泰含片	￥28.00
铁笛片	￥28.00
小儿复方四维亚铁散(金蓓贝)	￥28.00
苯扎氯铵贴(邦迪)	￥28.00
复方酮康唑发用洗剂(康王)	￥28.00
清热暗疮丸	￥28.00
维生素C咀嚼片(德维喜)	￥28.00
维生素C咀嚼片(德维喜)	￥28.00
丹溪玉屏风颗粒	￥28.00
达妇宁纳米银黄柏抗菌洗液	￥28.00
达妇宁纳米银苦参抗菌洗液	￥28.00
蛤蚧	￥28.00
同仁堂苦丁茶(精装)	￥28.00
百合(易拉盖包装)(彭祖)	￥28.00
茵胆平肝胶囊(片仔癀)  3月选品活动	￥28.00
通络祛痛膏(羚锐)	￥28.20
头孢丙烯片(新海店)	￥28.30
清热泻火 解毒止痛 欣凯制药 连芩珍珠滴丸	￥28.30
阿莫西林克拉维酸钾片(强力阿莫仙)	￥28.40
缓解类风湿关节炎、骨关节炎 双氯芬酸钠缓释胶囊	￥28.40
檀香	￥28.43
高尿酸血症,痛风性关节炎 龙灯瑞迪制药  苯溴马隆片	￥28.50
元七骨痛酊	￥28.50
芪参益气滴丸	￥28.50
地氯雷他定分散片(芙必叮)	￥28.50
替米沙坦片(舒尼亚)	￥28.50
风湿马钱片	￥28.50
颈腰康胶囊	￥28.50
苯扎贝特片(阿贝他)	￥28.50
羟糖甘滴眼液(新泪然)	￥28.50
(美开朗)2%盐酸卡替洛尔滴眼液	￥28.50
参芪健胃颗粒(辅仁)	￥28.50
强力枇杷露(炼蜜)	￥28.50
云南白药气雾剂	￥28.50
补肾强身片(太极)	￥28.50
头孢克洛缓释片(帅先)	￥28.60
巴特日七味丸(蒙王)	￥28.60
复方水杨酸甲酯薄荷醇贴剂(撒隆巴斯)	￥28.60
云南白药气雾剂	￥28.70
阿胶珠	￥28.71
 牙周炎 天津中新 牙痛停滴丸	￥28.80
子宫出血 长春万德制药 妇科止血灵片	￥28.80
愈美甲麻敏糖浆(快克露)	￥28.80
10片装1103暖宝宝(可贴)	￥28.80
提高免疫力 无锡健特药业 黄金搭档(儿童、青少年)巧克力味	￥28.80
抗宫炎胶囊 韵美莱  清湿热，止带下。用于湿热下注所致的带下量多。	￥28.80
缬沙坦胶囊(星复康)	￥28.80
一枝蒿伤湿祛痛膏	￥28.80
消炎 齐鲁 头孢克肟胶囊(琪安)	￥28.90
戊酸雌二醇片 补佳乐	￥28.90
泛昔洛韦片(海正韦克)	￥28.90
清宣止咳颗粒	￥28.90
复方酮康唑洗剂(采乐)(新海店)	￥28.90
血糖测试 北京怡成生物电子技术有限公司 怡成虹吸血糖试条(超越型)	￥29.00
抗骨质增生丸	￥29.00
清热解毒、祛风燥湿、止痒 哈药集团 湿痒洗液	￥29.00
海诺医用橡皮膏(易撕)	￥29.00
半夏糖浆(本草纲目)	￥29.00
红花逍遥胶囊 天利 月经不调	￥29.00
碳酸钙D3片(朗迪)	￥29.00
腹泻肠炎菌痢脘腹胀满  天津中新药业集团 胃肠安丸	￥29.00
高血压 齐鲁制药 卡维地洛片	￥29.00
妇科千金片 千金	￥29.00
谷幽兰维生素E保湿营养霜	￥29.00
曼秀雷敦退热贴(儿童型)	￥29.00
盐酸伊托必利片(谓畅动力)	￥29.00
替普瑞酮胶囊(施维舒)	￥29.00
开胃健脾丸(本草纲目)	￥29.00
润燥止痒胶囊(仙灵)	￥29.00
麝香壮骨膏(羚锐)	￥29.00
明目蒺藜丸	￥29.00
舒腹贴膏	￥29.00
二硫化硒洗剂(希尔生)	￥29.00
补肾益脑胶囊	￥29.00
银杏叶片(依康宁)	￥29.00
清热解毒，抗菌消炎 天津天士力 穿心莲内酯滴丸	￥29.20
用于痔疮炎肿痛 痔炎消片	￥29.20
阿莫西林克拉维酸钾片(金力舒)	￥29.20
复方甘草酸苷片(美能)	￥29.20
独一味胶囊	￥29.20
低分子肝素钠凝胶	￥29.30
头孢丙烯分散片(银力舒)	￥29.30
硝苯地平缓释片(Ⅰ)(圣通平)	￥29.30
健胃消食口服液	￥29.30
叶酸片 常喜	￥29.40
雷贝拉唑钠肠溶片	￥29.40
胃灵颗粒	￥29.50
千金净雅妇科专用棉巾	￥29.50
千金净雅妇科专用棉巾	￥29.50
千金净雅妇科专用棉巾	￥29.50
千金净雅妇科专用棉巾	￥29.50
醋酸钙颗粒(新海店)	￥29.50
弹性酶肠溶片(千红怡甘)	￥29.50
西洋参	￥29.50
银杏叶片	￥29.50
敏感菌所致的鼻窦炎中耳炎等 珠海联邦制药 罗红霉素胶囊	￥29.50
复方吡拉西坦脑蛋白水解物片(康恼灵)	￥29.50
复方薄荷脑软膏(曼秀雷敦)	￥29.50
沉香	￥29.51
祛风散寒，活血通络，消肿止痛 天和骨通贴膏（华润三九）	￥29.60
莫匹罗星软膏(匹得邦)	￥29.60
妇炎洁本草精华抑菌洗液	￥29.60
地奥司明片	￥29.70
安全可靠防止意外怀孕 多乐士梦幻系列加倍润滑天然乳胶橡胶避孕套	￥29.80
前列腺  前列舒乐胶囊	￥29.80
壬苯醇醚栓	￥29.80
BY(培菲康)口服双歧杆菌、嗜酸乳杆菌、肠球菌三联活菌胶囊	￥29.80
 消炎、止痒 福州 止痒消炎水	￥29.80
复方丹参丸	￥29.80
小儿风热清颗粒(仁和米阿卡))	￥29.80
肠炎宁口服液(泰华堂)	￥29.80
活血止痛片(仁和中方)	￥29.80
咽炎片(感康)	￥29.80
乙酰半胱氨酸颗粒(富露施)	￥29.80
儿宝颗粒(仁和米阿卡)	￥29.80
罗红霉素氨溴索分散片(镇克舒尔)	￥29.80
胸腺肽肠溶片(迪尔舒)	￥29.80
水杨酸复合洗剂(比之可)	￥29.80
野马追糖浆(浙江康恩贝)	￥29.80
感冒 四川科伦 小儿清肺化痰泡腾片	￥29.80
第六感避孕套(超薄芦荟)(原超薄抗菌)	￥29.80
排毒养颜片	￥29.80
紧急避孕 浙江仙琚 左炔诺孕酮肠溶胶囊	￥29.80
清热解毒 消炎 芦荟胶(先声再康)	￥29.80
高血压-苯磺酸氨氯地平片	￥29.80
抗菌消炎-盐酸左氧氟沙星胶囊	￥29.80
化瘀止血  云南白药痔疮膏	￥29.80
糖尿病-格列齐特缓释片	￥29.80
黄藤素软胶囊 圣火	￥29.80
BK1验孕棒 淑女	￥29.80
茵花洗液 阴部瘙痒 希尔安	￥29.80
K1淑女验孕棒 红丽系列	￥29.80
复方黄松洗液 肤阴洁	￥29.80
妇炎净片(薄膜衣片) 众心	￥29.80
蒲地蓝消炎片	￥29.80
蒲地蓝消炎胶囊	￥29.80
麻杏止咳糖浆(太极)	￥29.80
沉香化气片   功能性消化不良,痞满,腹胀	￥29.80
麝香壮骨膏	￥29.80
盐酸苯环壬酯片(飞赛乐)	￥29.80
龙牡壮骨颗粒	￥29.80
小儿柴桂退热颗粒	￥29.80
紫草婴儿软膏(云南康恩贝)	￥29.80
硝酸益康唑喷剂(唯达宁)	￥29.80
私密护理液(日常养护型)(原诗洁女士护理液日常护理型)	￥29.80
减少白细胞 成都地奥集团 地榆升白片	￥29.90
避孕套(至尊超薄装) 杜蕾斯	￥29.90
洁尔阴洗液 阴道炎	￥29.90
退热贴(生达)儿童型	￥29.90
天麻祛风补片(云昆)	￥29.90
复方氯化钠滴眼液II(乐敦清)	￥29.90
溴吡斯的明片	￥29.90
纤薄平滑 拉伸有度 能有效预防性病传播和意外受孕多乐士梦幻系列激情颗粒天然乳胶橡胶避孕套	￥30.00
滋养胃阴 生津止渴 兼能清胃热 枫斗	￥30.00
肝炎-甘草酸二铵肠溶胶囊	￥30.00
祛瘀止痛、天津金士力 丹参伴侣牙膏（晚）	￥30.00
心脑康胶囊	￥30.00
舒泌通片	￥30.00
